file_path,folder_category,file_mtime,file_size,evaluator_type,evaluator_full,eval_timestamp,model_name,seed,checkpoint,model_type,num_scenarios,combined_score,helpfulness_score
training_reports/evaluate_baseline_20250529_132210/eval_grpo_4_debug-garbled-chat-template-response.json,timestamped,2025-05-29 13:22:37.987710,23460,gemini,gemini (gemini-2.0-flash),2025-05-29T13:22:37.984776,/mnt/checkpoints/grpo_4,unknown,final,unknown,10,0.8022499999999999,0.6424999999999998
training_reports/evaluate_baseline_20250529_132210/eval_grpo_5_debug-garbled-chat-template-response.json,timestamped,2025-05-29 13:23:05.989804,21961,gemini,gemini (gemini-2.0-flash),2025-05-29T13:23:05.987941,/mnt/checkpoints/grpo_5,unknown,final,unknown,10,0.86175,0.7424999999999999
training_reports/evaluate_baseline_20250612_183802/eval_DialoGPT-medium_debug-garbled-chat-template-response.json,timestamped,2025-06-12 18:44:47.605977,1132,error,error,error,Error,unknown,final,unknown,0,0.0,0.0
training_reports/evaluate_baseline_20250612_190239/eval_Llama-3.2-1B-Instruct_debug-garbled-chat-template-response.json,timestamped,2025-06-12 19:05:41.777400,23257,error,error,error,Error,unknown,final,unknown,0,0.0,0.0
training_reports/evaluate_baseline_20250613_101225/eval_grpo_4_debug-garbled-chat-template-response_from_json.json,timestamped,2025-06-14 07:10:15.247800,1680,error,error,error,Error,unknown,final,unknown,0,0.0,0.0
training_reports/evaluate_baseline_20250613_101552/eval_grpo_4_debug-garbled-chat-template-response_from_json.json,timestamped,2025-06-14 07:10:15.247800,1661,error,error,error,Error,unknown,final,unknown,0,0.0,0.0
training_reports/evaluate_baseline_20250613_101737/eval_grpo_4_debug-garbled-chat-template-response_from_json.json,timestamped,2025-06-14 07:10:15.247800,3815,gemini,gemini (gemini-2.0-flash),2025-06-13T10:17:51.951747,meta-llama/Llama-3.2-1B-Instruct,baseline,final,baseline,1,0.9175,0.825
training_reports/evaluate_baseline_20250613_102046/eval_grpo_4_debug-garbled-chat-template-response_from_json.json,timestamped,2025-06-14 07:10:15.251801,2376,openai,openai (gpt-4o-mini),2025-06-13T10:21:00.053328,meta-llama/Llama-3.2-1B-Instruct,baseline,final,baseline,1,0.0,0.65
training_reports/evaluate_baseline_20250613_102621/eval_grpo_4_debug-garbled-chat-template-response_from_json.json,timestamped,2025-06-14 07:10:15.251801,21144,gemini,gemini (gemini-2.0-flash),2025-06-13T10:26:39.941050,meta-llama/Llama-3.2-1B-Instruct,baseline,final,baseline,10,0.6926,0.6900000000000001
training_reports/evaluate_baseline_20250613_102658/eval_grpo_4_debug-garbled-chat-template-response_from_json.json,timestamped,2025-06-14 07:10:15.251801,7510,openai,openai (gpt-4o-mini),2025-06-13T10:27:11.455198,meta-llama/Llama-3.2-1B-Instruct,baseline,final,baseline,10,0.0,0.7125
